Year,Gen,Transect,Sequence,Donor,Recipient,Plant_ID,F_plant,sample_ID_SEG,sample_ID,SegPos,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,F_Num_01,F_Num_02,F_Num_03,skel_dryweight_mg,skel_dryweight_mg_SEG,closed_fruits,open_fruits,filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,msm_all,corolla_diam_mm,photo_date,corolla_diam_mm_SEG,photo_date_SEG,leaf_area_mm2,leaf_dryweight_mg,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,SLA,LMA_SEG,LMA,d13C,sample_weight_mg,d13C_SEG,sample_weight_mg_SEG,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds,Cohort,Block,Replicated,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,days_germ2flower,corolla_area_mm2,corolla_area_mm2_SEG,Needed Area Redo,nonfitness_fruits,sd_msm_all,est_fecundity_int,surv_to_germ
2023,G1,1,1,HR_200,HR_010,3,TRUE,HR-010-G1-001-1R,HR-010-G1-001-1R-3,1R,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,19.563,2024-04-05,19.563,2024-04-05,NA,NA,59.399,3.32,17.891265060240965,NA,0.05589319685516591,NA,NA,NA,-29.88,1.17,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,1,HR_175,HR_027,4,TRUE,HR-027-G2-001-1L,HR-027-G2-001-1L-4,1L,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,NA,NA,NA,13.27,13.27,5,0,12,13,5,2.4,12,3.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.56,1.19,-29.56,1.19,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,2,HR_141,HR_044,2,TRUE,HR-044-G2-001-2R,HR-044-G2-001-2R-2,2R,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,9.65,9.65,2,0,3,5,2,1.5,3,2.386666667,NA,NA,22.625,2024-04-05,NA,NA,30.246,2.17,13.938248847926268,NA,0.07174502413542286,NA,-30.97,3.74,-30.97,3.74,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,2,HR_189,HR_051,5,TRUE,HR-051-G1-001-2L,HR-051-G1-001-2L-5,2L,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,NA,NA,NA,58.64,58.64,9,2,19,31,11,2.111111111,23.22222222,2.068285714,22.898,2024-04-05,22.898,2024-04-05,NA,NA,74.038,4.22,17.544549763033174,NA,0.05699775790810125,NA,-30,4.06,-30,4.06,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,3,HR_069,HR_108,1,TRUE,HR-108-G2-001-3R,HR-108-G2-001-3R-1,3R,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,NA,NA,NA,10.76,10.76,3,0,3,4,3,1,3,3.1725,NA,NA,16.511,2024-04-05,NA,NA,53.667,3.12,17.200961538461538,NA,0.05813628486779585,NA,-29.87,3.28,-29.87,3.28,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,3,HR_095,HR_178,4,TRUE,HR-178-G2-001-3L,HR-178-G2-001-3L-4,3L,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,NA,NA,NA,25.51,25.51,6,0,24,36,6,4,24,2.044421053,NA,NA,NA,NA,NA,NA,38.678,2.2,17.58090909090909,NA,0.05687988003516212,NA,-30.53,3.58,-30.53,3.58,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,4,HR_180,HR_036,4,TRUE,HR-036-G1-001-4L,HR-036-G1-001-4L-4,4L,2022-11-10,2022-11-13,2024-04-20,527,524,2024-05-04,14,NA,NA,NA,NA,NA,9,3,16,19,12,1.777777778,21.33333333,3.603253968,24.15,2024-04-20,24.15,2024-04-20,NA,NA,72.139,3.81,18.934120734908134,NA,0.05281470494462081,NA,-29.89,2.28,-29.89,2.28,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,4,HR_155,HR_121,3,TRUE,HR-121-G2-001-4R,HR-121-G2-001-4R-3,4R,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,NA,NA,NA,6.19,6.19,2,0,11,13,2,5.5,11,1.207142857,25.546,2024-04-05,25.546,2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,-31.15,1.89,-31.15,1.89,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,5,HR_062,HR_134,4,TRUE,HR-134-G1-001-5R,HR-134-G1-001-5R-4,5R,2022-11-10,2022-11-13,2024-04-20,527,524,2024-05-04,14,NA,NA,NA,17.82,17.82,6,0,9,13,6,1.5,9,2.619166667,NA,NA,21.495,2024-04-05,NA,NA,42.306,2.28,18.555263157894736,NA,0.05389306481350163,NA,-30.89,4.2,-30.89,4.2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,5,HR_006,HR_162,2,TRUE,HR-162-G1-001-5L,HR-162-G1-001-5L-2,5L,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,NA,NA,NA,NA,NA,2,0,5,6,2,2.5,5,2.084166667,22.079,2024-04-20,22.079,2024-04-20,NA,NA,37.152,2.03,18.30147783251232,NA,0.05464039621016364,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,6,HR_164,HR_041,1,TRUE,HR-041-G2-001-6L,HR-041-G2-001-6L-1,6L,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,NA,NA,NA,4.33,4.33,0,0,0,0,0,NA,0,NA,22.048,2024-04-05,22.048,2024-04-05,NA,NA,43.521,2.24,19.429017857142856,NA,0.05146940557432045,NA,NA,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,6,HR_095,HR_124,3,TRUE,HR-124-G2-001-6R,HR-124-G2-001-6R-3,6R,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,NA,NA,NA,34.95,34.95,11,0,21,28,11,1.909090909,21,3.868,NA,NA,NA,NA,NA,NA,55.917,2.52,22.189285714285713,NA,0.04506679542893932,NA,-30.31,4.78,-30.31,4.78,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,7,HR_006,HR_162,5,TRUE,HR-162-G1-001-7L,HR-162-G1-001-7L-5,7L,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,7,HR_180,HR_179,3,TRUE,HR-179-G1-001-7R,HR-179-G1-001-7R-3,7R,2022-11-10,2022-11-13,2024-04-20,527,524,2024-05-04,14,NA,NA,NA,6.13,6.13,1,1,2,2,2,2,4,2.035,NA,NA,25.794,2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,-30.81,2.21,-30.81,2.21,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,8,HR_164,HR_005,1,TRUE,HR-005-G1-001-8R,HR-005-G1-001-8R-1,8R,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,NA,NA,NA,7.9,7.9,2,1,1,4,3,0.5,1.5,4.99,21.442,2024-04-05,21.442,2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,-31.37,4.08,-31.37,4.08,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,8,HR_175,HR_196,3,TRUE,HR-196-G1-001-8L,HR-196-G1-001-8L-3,8L,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-05,0,NA,NA,NA,6.5,6.5,1,0,2,3,1,2,2,2.395,24.547,2024-04-05,24.547,2024-04-05,NA,NA,27.981,1.62,17.272222222222222,NA,0.05789642972016726,NA,-30.93,1.61,-30.93,1.61,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,9,HR_157,HR_095,4,TRUE,HR-095-G1-001-9L,HR-095-G1-001-9L-4,9L,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,NA,NA,NA,11.57,11.57,3,0,0,8,3,0,0,NA,25.859,2024-04-20,25.859,2024-04-20,NA,NA,33.432,1.74,19.21379310344828,NA,0.05204594400574299,NA,-31.01,4.22,-31.01,4.22,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
